LAST SEEN   TYPE      REASON                         OBJECT                                                   MESSAGE
48m         Normal    Pulling                        pod/api-gateway-6487dd55d9-rqth9                         Pulling image "ghcr.io/puaa-team/aituan/api-gateway:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f"
48m         Normal    Pulling                        pod/engagement-platform-service-b6f9bd8c9-mmpz7          Pulling image "ghcr.io/puaa-team/aituan/engagement-platform-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f"
48m         Normal    ScalingReplicaSet              deployment/identity-asset-service                        Scaled up replica set identity-asset-service-7cf5978966 from 0 to 1
48m         Normal    SuccessfulCreate               replicaset/identity-asset-service-7cf5978966             Created pod: identity-asset-service-7cf5978966-h4rxp
48m         Normal    Pulling                        pod/identity-asset-service-7cf5978966-h4rxp              Pulling image "ghcr.io/puaa-team/aituan/identity-asset-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f"
48m         Normal    SuccessfulCreate               replicaset/merchant-catalog-service-65bd4fcf56           Created pod: merchant-catalog-service-65bd4fcf56-8b7vs
48m         Normal    Pulling                        pod/merchant-catalog-service-65bd4fcf56-8b7vs            Pulling image "ghcr.io/puaa-team/aituan/merchant-catalog-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f"
48m         Normal    ScalingReplicaSet              deployment/merchant-catalog-service                      Scaled up replica set merchant-catalog-service-65bd4fcf56 from 0 to 1
48m         Normal    ScalingReplicaSet              deployment/trade-fulfillment-service                     Scaled up replica set trade-fulfillment-service-5f9dd448d4 from 0 to 1
48m         Normal    SuccessfulCreate               replicaset/trade-fulfillment-service-5f9dd448d4          Created pod: trade-fulfillment-service-5f9dd448d4-5w64w
48m         Normal    Pulling                        pod/trade-fulfillment-service-5f9dd448d4-5w64w           Pulling image "ghcr.io/puaa-team/aituan/trade-fulfillment-service:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f"
48m         Normal    Killing                        pod/mysql-0                                              Stopping container mysql
48m         Warning   Unhealthy                      pod/trade-fulfillment-service-5f577b56fd-lvp98           Readiness probe failed: HTTP probe failed with statuscode: 503
48m         Warning   Unhealthy                      pod/mysql-0                                              Readiness probe errored and resulted in unknown state: rpc error: code = Canceled desc = context canceled
48m         Normal    Created                        pod/aituan-web-dd89ff558-h6vkz                           Container created
48m         Normal    Pulled                         pod/aituan-web-dd89ff558-h6vkz                           Successfully pulled image "ghcr.io/puaa-team/aituan/web:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" in 6.932s (6.932s including waiting). Image size: 34352887 bytes.
48m         Normal    Started                        pod/aituan-web-dd89ff558-h6vkz                           Container started
48m         Normal    Pulling                        pod/mysql-0                                              Pulling image "ghcr.io/puaa-team/aituan/mysql:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f"
48m         Normal    Started                        pod/api-gateway-6487dd55d9-rqth9                         Container started
48m         Normal    Created                        pod/api-gateway-6487dd55d9-rqth9                         Container created
48m         Normal    Pulled                         pod/api-gateway-6487dd55d9-rqth9                         Successfully pulled image "ghcr.io/puaa-team/aituan/api-gateway:sha-c55161efcc4719d97a8f0e59a054c6abbfbcb75f" in 12.733s (12.733s including waiting). Image size: 127093612 bytes.
48m         Normal    Killing                        pod/aituan-web-6944d46997-jg5z4                          Stopping container web
48m         Normal    SuccessfulDelete               replicaset/aituan-web-6944d46997                         Deleted pod: aituan-web-6944d46997-jg5z4
48m         Normal    ScalingReplicaSet              deployment/aituan-web                                    Scaled down replica set aituan-web-6944d46997 from 1 to 0
